Country,Gender,Value
Russia,Male,16.62
Russia,Female,83.38
India,Male,10.94
India,Female,89.06
Germany,Male,6.59
Germany,Female,93.41
Spain,Male,5.72
Spain,Female,94.28
France,Male,9.01
France,Female,90.99
Poland,Male,14.51
Poland,Female,85.49
Italy,Male,5.89
Italy,Female,94.11
Iran,Male,10.14
Iran,Female,89.86
Turkey,Male,11.17
Turkey,Female,88.83
Czech Republic,Male,6.21
Czech Republic,Female,93.79
United States,Male,7.41
United States,Female,92.59
Hungary,Male,9.17
Hungary,Female,90.83
Greece,Male,13.35
Greece,Female,86.65
Brazil,Male,11.65
Brazil,Female,88.35
Serbia,Male,8.35
Serbia,Female,91.65
Romania,Male,13.83
Romania,Female,86.17
Ukraine,Male,13.88
Ukraine,Female,86.12
Netherlands,Male,5.82
Netherlands,Female,94.18
Argentina,Male,4.91
Argentina,Female,95.09
Denmark,Male,1.88
Denmark,Female,98.12
Slovakia,Male,6.15
Slovakia,Female,93.85
Sweden,Male,3.87
Sweden,Female,96.13
Austria,Male,5.57
Austria,Female,94.43
UNITED KINGDOM,Male,6.73
UNITED KINGDOM,Female,93.27
Sri Lanka,Male,25.68
Sri Lanka,Female,74.32
Norway,Male,4.32
Norway,Female,95.68
Croatia,Male,7.73
Croatia,Female,92.27
Belgium,Male,5.23
Belgium,Female,94.77
Colombia,Male,15.12
Colombia,Female,84.88
Switzerland,Male,4.14
Switzerland,Female,95.86
Peru,Male,17.2
Peru,Female,82.8
Kazakhstan,Male,6.39
Kazakhstan,Female,93.61
Venezuela,Male,16.62
Venezuela,Female,83.38
Egypt,Male,13.67
Egypt,Female,86.33
Chile,Male,5.01
Chile,Female,94.99
Cuba,Male,9.47
Cuba,Female,90.53
Australia,Male,17.77
Australia,Female,82.23
Portugal,Male,8.83
Portugal,Female,91.17
Azerbaijan,Male,8.19
Azerbaijan,Female,91.81
Mexico,Male,18.92
Mexico,Female,81.08
Bulgaria,Male,17.5
Bulgaria,Female,82.5
Malaysia,Male,14.11
Malaysia,Female,85.89
China,Male,18.16
China,Female,81.84
Slovenia,Male,28.89
Slovenia,Female,71.11
Canada,Male,12.48
Canada,Female,87.52
Georgia,Male,10.01
Georgia,Female,89.99
Ecuador,Male,27.46
Ecuador,Female,72.54
Armenia,Male,24.86
Armenia,Female,75.14
Bangladesh,Male,15.2
Bangladesh,Female,84.8
South Africa,Male,8.4
South Africa,Female,91.6
Finland,Male,16.52
Finland,Female,83.48
Lithuania,Male,4.39
Lithuania,Female,95.61
Bolivia,Male,17.37
Bolivia,Female,82.63
Uzbekistan,Male,21.41
Uzbekistan,Female,78.59
Belarus,Male,20.38
Belarus,Female,79.62
Philippines,Male,18.75
Philippines,Female,81.25
Bosnia and Herzegovina,Male,19.75
Bosnia and Herzegovina,Female,80.25
Indonesia,Male,8.42
Indonesia,Female,91.58
Nepal,Male,17.63
Nepal,Female,82.37
Myanmar,Male,6.07
Myanmar,Female,93.93
Costa Rica,Male,4.01
Costa Rica,Female,95.99
Vietnam,Male,15.41
Vietnam,Female,84.59
Latvia,Male,37.5
Latvia,Female,62.5
Iraq,Male,18.92
Iraq,Female,81.08
Ireland,Male,9.84
Ireland,Female,90.16
Zambia,Male,5.95
Zambia,Female,94.05
South Korea,Male,9.05
South Korea,Female,90.95
Moldova,Male,24.13
Moldova,Female,75.87
Dominican Republic,Male,19.11
Dominican Republic,Female,80.89
Iceland,Male,7.82
Iceland,Female,92.18
Singapore,Male,5.3
Singapore,Female,94.7
Algeria,Male,15.36
Algeria,Female,84.64
Mongolia,Male,16.43
Mongolia,Female,83.57
Uruguay,Male,35.18
Uruguay,Female,64.82
Jordan,Male,6.62
Jordan,Female,93.38
Kenya,Male,11.31
Kenya,Female,88.69
Libya,Male,16.37
Libya,Female,83.63
Kyrgyzstan,Male,1.2
Kyrgyzstan,Female,98.8
New Zealand,Male,17.95
New Zealand,Female,82.05
SCOTLAND,Male,11.28
SCOTLAND,Female,88.72
Tunisia,Male,6.82
Tunisia,Female,93.18
Paraguay,Male,10.25
Paraguay,Female,89.75
Estonia,Male,10.32
Estonia,Female,89.68
Montenegro,Male,22.02
Montenegro,Female,77.98
Angola,Male,8.39
Angola,Female,91.61
Macedonia,Male,12.94
Macedonia,Female,87.06
Botswana,Male,7.99
Botswana,Female,92.01
WALES,Male,25.83
WALES,Female,74.17
United Arab Emirates,Male,10.86
United Arab Emirates,Female,89.14
Thailand,Male,30.32
Thailand,Female,69.68
Luxembourg,Male,20.06
Luxembourg,Female,79.94
Madagascar,Male,6.03
Madagascar,Female,93.97
Syria,Male,9.18
Syria,Female,90.82
Morocco,Male,8.03
Morocco,Female,91.97
Nigeria,Male,9.4
Nigeria,Female,90.6
Zimbabwe,Male,12.2
Zimbabwe,Female,87.8
Puerto Rico,Male,23
Puerto Rico,Female,77
Hong Kong,Male,10.18
Hong Kong,Female,89.82
Japan,Male,8.54
Japan,Female,91.46
Pakistan,Male,9.43
Pakistan,Female,90.57
