Country,FIDEAverage
Russia,1666
India,1275
Germany,1841
Spain,1429
France,1580
Poland,1622
Italy,1621
Iran,1386
Turkey,1424
Czech Republic,1752
United States of America,1887
Hungary,1720
Greece,1414
Brazil,1667
Serbia,1858
Romania,1585
Ukraine,1844
Netherlands,1886
Argentina,1627
Denmark,1733
Slovakia,1698
Sweden,1694
Austria,1793
United Kingdom,1794
Sri Lanka,1288
Norway,1597
Croatia,1672
Belgium,1666
Colombia,1715
Switzerland,1637
Peru,1435
Israel,1692
Kazakhstan,1426
Venezuela,1585
Egypt,1524
Chile,1627
Cuba,1877
Australia,1647
Portugal,1510
Azerbaijan,1497
Mexico,1594
Bulgaria,1681
Malaysia,1427
China,1718
Slovenia,1739
Canada,1812
Georgia,1543
Ecuador,1572
Armenia,1699
Bangladesh,1660
South Africa,1469
Finland,1872
Lithuania,1642
Bolivia,1397
Uzbekistan,1656
Belarus,1645
Philippines,1728
Bosnia and Herzegovina,1878
Indonesia,1868
Nepal,1572
Myanmar,1891
Costa Rica,1493
Vietnam,1720
Latvia,1709
Iraq,1595
Ireland,1752
Zambia,1749
South Korea,1422
Moldova,1463
Dominican Rep.,1719
Iceland,1747
Singapore,1285
Algeria,1591
Mongolia,1690
Uruguay,1453
Jordan,1545
Kenya,1376
Libya,1706
Kyrgyzstan,1509
New Zealand,1716
SCOTLAND,1818
Tunisia,1621
Paraguay,1524
Estonia,1742
Montenegro,1872
Angola,1636
Macedonia,1542
Botswana,1524
WALES,1815
United Arab Emirates,1479
Thailand,1528
Luxembourg,1774
Madagascar,1574
Syria,1834
Morocco,1759
Nigeria,1899
Zimbabwe,1617
Puerto Rico,1600
Hong Kong,1480
Turkmenistan,1872
Jamaica,1235
Panama,1613
FIDE,1585
Japan,1803
Uganda,1652
Albania,1751
Kosovo,1923
El Salvador,1627
Nicaragua,1619
Guatemala,1588
Honduras,1611
Malawi,1627
Trinidad and Tobago,1577
Lebanon,1630
Sudan,1716
Faroe Islands,1698
Palestine,1593
Saudi Arabia,1591
Cyprus,1335
Oman,1141
Barbados,1573
,1453
Malta,1554
Suriname,1469
Pakistan,1746
Tajikistan,1681
Lesotho,1375
Kuwait,1412
Palau,1395
Ethiopia,1742
Namibia,1453
Ghana,1542
Afghanistan,1650
Bermuda,1447
Mauritania,1661
Monaco,1766
Andorra,1701
Mozambique,1595
Yemen,1725
Qatar,1682
Aruba,1647
Swaziland,1252
Guyana,1474
Netherlands Antilles,1747
Fiji,1627
Rwanda,1608
Macao,1703
Brunei,1709
Cape Verde,1184
Ivory Coast,1655
Bahamas,1562
Maldives,1482
Tanzania,1340
Guam,1679
Brunei,1731
Jersey,1743
Mauritius,1705
Togo,1551
Guernsey,1744
Haiti,1758
Liberia,1772
East Timor,1551
South Sudan,1961
Sao Tome and Principe,1730
Liechtenstein,1888
Laos,1265
Cameroon,1757
Burkina Faso,1475
Solomon Islands,1721
Somalia,1693
Seychelles,1573
Mali,1858
Senegal,1661
Burundi,1726
Gambia,1862
San Marino,1815
United States Virgin Islands,1612
Djibouti,1652
Papua New Guinea,1829
Nauru,1685
,1780
Dem. Rep. Congo,1679
Bhutan,1438
Sierra Leone,1680
Netherlands Antilles,1191
Eritrea,1820
Virgin Islands,1749
Central African Rep.,1556
Gabon,1878
Cambodia,2250
